logical,"If 2 pencils cost 8 cents, how much do 5 pencils cost?",A. 18,B. 20,C. 22,D. 24,b
logical,"Find the missing number: 7, 14, 21, ?, 35",A. 25,B. 28,C. 30,D. 32,b
logical,"If all squares are rectangles, and all rectangles are shapes, then all squares are?",A. Shapes,B. Circles,C. Lines,D. Triangles,a
logical,"Which comes next in the pattern: AB, BC, CD, DE, ?",A. EF,B. FG,C. DF,D. GH,a
logical,"If SOME = 58, then NONE = ?",A. 56,B. 57,C. 58,D. 59,a
logical,"Which one does not belong? 2, 4, 8, 10, 16",A. 2,B. 4,C. 8,D. 10,d
logical,"John is taller than Peter. Peter is taller than Sam. Who is the tallest?",A. John,B. Peter,C. Sam,D. Cannot say,a
logical,"If in a code CAT = DBU, then DOG = ?",A. DPH,B. EPH,C. DPG,D. EOG,b
logical,"Find the missing term: 2, 6, 12, 20, ?",A. 28,B. 30,C. 32,D. 34,a
logical,"Choose the correct analogy: Eye : See :: Ear : ?",A. Sound,B. Listen,C. Hear,D. Noise,c
logical,"Which figure is the odd one out? Triangle, Square, Pentagon, Circle",A. Triangle,B. Square,C. Pentagon,D. Circle,d
logical,"If all books are pages and some pages are covers, what can we conclude?",A. Some books are covers,B. All covers are books,C. Some pages may be covers,D. Cannot say,c
logical,"Which number continues the series: 3, 6, 11, 18, ?",A. 25,B. 26,C. 27,D. 28,b
logical,"Find the odd one out: Paris, London, Rome, Amazon",A. Paris,B. London,C. Rome,D. Amazon,d
logical,"If TRAIN is coded as RTANI, then PLANE is coded as?",A. LPAEN,B. PALNE,C. ALPEN,D. PLEAN,b
logical,"Which number replaces the question mark? 1, 1, 2, 3, 5, 8, ?",A. 11,B. 12,C. 13,D. 14,c
logical,"If some pens are blue and all blue things are nice, what can be concluded?",A. Some pens are nice,B. All pens are nice,C. No pen is nice,D. Cannot say,a
logical,"Arrange the words logically: 1. Infant 2. Adult 3. Teenager 4. Old age","A. 1,3,2,4","B. 2,1,3,4","C. 3,1,2,4","D. 1,2,3,4",a
logical,"If all apples are fruits and some fruits are bananas, what can we conclude?",A. Some apples are bananas,B. All bananas are fruits,C. All fruits are apples,D. Cannot say,b
logical,"Which number continues the pattern: 4, 9, 16, 25, ?",A. 30,B. 34,C. 36,D. 40,c
